node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startState,endState
521,1026,4.427511131779,-63.2920804721513,-10.8181509503804,-62.7408394185579,-6.75957115797657,4.427511131779,0,2018.04647959481,2022.47399072659,NA,BR.RO,BR.AM
521,522,4.737071843508,-63.2920804721513,-10.8181509503804,-63.3051803717875,-10.8061153747532,4.737071843508,0,2018.04647959481,2022.78355143832,NA,BR.RO,BR.RO
522,523,0.007529370664104,-63.3051803717875,-10.8061153747532,-63.304939474479,-10.8063952838287,4.7446012141721,4.737071843508,2022.78355143832,2022.79108080898,NA,BR.RO,BR.RO
523,524,0.03667578662023,-63.304939474479,-10.8063952838287,-61.2413233351872,-4.61958619225274,4.78127700079233,4.7446012141721,2022.79108080898,2022.8277565956,NA,BR.RO,BR.AC
522,481,0.04739429115129,-63.3051803717875,-10.8061153747532,-63.309174579834,-10.8112348687349,4.78446613465929,4.737071843508,2022.78355143832,2022.83094572947,PP153977_SegM_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.RO,BR.RO
524,1,0.00318913386696,-61.2413233351872,-4.61958619225274,-61.2413726991016,-4.61898852044703,4.78446613465929,4.78127700079233,2022.8277565956,2022.83094572947,PP153978_SegM_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.AC,BR.AC
524,525,0.04920591605095,-61.2413233351872,-4.61958619225274,-61.2422281445493,-4.62276760717177,4.83048291684328,4.78127700079233,2022.8277565956,2022.87696251165,NA,BR.AC,BR.AC
525,528,0.0006901286654573,-61.2422281445493,-4.62276760717177,-61.2418218503025,-4.62218695294331,4.83117304550874,4.83048291684328,2022.87696251165,2022.87765264032,NA,BR.AC,BR.AC
1026,1027,0.4533432069471,-62.7408394185579,-6.75957115797657,-65.5555156121212,-4.29183137223212,4.8808543387261,4.427511131779,2022.47399072659,2022.92733393354,NA,BR.AM,BR.AM
528,530,0.05883332968083,-61.2418218503025,-4.62218695294331,-61.2423300925765,-4.61961988831471,4.89000637518957,4.83117304550874,2022.87765264032,2022.93648597,NA,BR.AC,BR.AC
1027,1028,0.01776810607201,-65.5555156121212,-4.29183137223212,-65.5514446007006,-4.29408620545122,4.89862244479811,4.8808543387261,2022.92733393354,2022.94510203961,NA,BR.AM,BR.AM
523,661,0.1680708208971,-63.304939474479,-10.8063952838287,-63.2998784854381,-10.8063772725066,4.9126720350692,4.7446012141721,2022.79108080898,2022.95915162988,NA,BR.RO,BR.RO
1028,1029,0.02508697297925,-65.5514446007006,-4.29408620545122,-65.5506175681674,-4.29388467433829,4.92370941777736,4.89862244479811,2022.94510203961,2022.97018901259,NA,BR.AM,BR.AM
1029,512,0.008701922361031,-65.5506175681674,-4.29388467433829,-62.1742733888408,-9.06144332144145,4.93241134013839,4.92370941777736,2022.97018901259,2022.97889093495,PP154129_SegM_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
