time,culicoides
2018.0325,1.21383333175133
2018.0975,1.21374999607603
2018.1625,1.21483333533009
2018.2275,1.20933333784342
2018.2925,1.20166666309039
2018.3575,1.20499999448657
2018.4225,1.1981666708986
2018.4875,1.19399999640882
2018.5525,1.18866666406393
2018.6175,1.17499999888241
2018.6825,1.17825000360608
2018.7475,1.18037499766797
2018.8125,1.1802000015974
2018.8775,1.19056666692098
2018.9425,1.19249999709427
2019.0075,1.18883332982659
2019.0725,1.19650000520051
2019.1375,1.20179167110473
2019.2025,1.19579167167346
2019.2675,1.20766666407386
2019.3325,1.19666666289171
2019.3975,1.19566666769485
2019.4625,1.19341666810215
2019.5275,1.1921666637063
2019.5925,1.19274999760091
2019.6575,1.18849999643862
2019.7225,1.19962499849498
2019.7875,1.19449999804298
2019.8525,1.19750000163913
2019.9175,1.20074999798089
2019.9825,1.21295833432426
2020.0475,1.20591666890929
2020.1125,1.20562499891967
2020.1775,1.19970833448072
2020.2425,1.19316666697462
2020.3075,1.19270833488554
2020.3725,1.19393333395322
2020.4375,1.1969166683654
2020.5025,1.19983333628625
2020.5675,1.19591666354487
2020.6325,1.1972499974072
2020.6975,1.20262500504032
2020.7625,1.19887500147646
2020.8275,1.19316666324933
2020.8925,1.19774999842048
2020.9575,1.19799999830623
2021.0225,1.19399999765058
2021.0875,1.19783332943916
2021.1525,1.19566666334867
2021.2175,1.20050000135476
2021.2825,1.19566666210691
2021.3475,1.20991667049626
2021.4125,1.2066250013498
2021.4775,1.20274999924004
2021.5425,1.20300000021234
2021.6075,1.20558333800485
2021.6725,1.20633333176374
2021.7375,1.22825000435114
2021.8025,1.22579167224467
2021.8675,1.2343333363533
2021.9325,1.27000000079473
2021.9975,1.28041667367021
2022.0625,1.28612499684095
2022.1275,1.29541666557391
2022.1925,1.2898333321015
2022.2575,1.29816666742166
2022.3225,1.3123749992145
2022.3875,1.31575000472367
2022.4525,1.33055555489328
2022.5175,1.29075000174344
2022.5825,1.25993749918416
2022.6475,1.24766666876773
2022.7125,1.23274999829009
2022.7775,1.21214999854565
2022.8425,1.26449375003576
2022.9075,1.30018437686376
2022.9725,1.28553596008966
2023.0375,1.26926448849422
2023.1025,1.32316402090639
2023.1675,1.34430226836977
2023.2325,1.31600347174228
2023.2975,1.31287847133353
2023.3625,1.40449999698571
2023.4275,1.48333332935969
2023.4925,1.48333332935969
2023.5575,1.46883332232634
2023.6225,1.4174602243372
2023.6875,1.37396428414754
2023.7525,1.34035713970661
2023.8175,1.34299188780903
2023.8825,1.5061917309739
2023.9475,1.5804408849355
2024.0125,1.57511353677151
2024.0775,1.32507801896218
2024.1425,1.33133038586236
2024.2075,1.29370850516748
2024.2725,1.2294701416044
2024.3375,1.15104545331137
2024.4025,NA
2024.4675,NA
