time,water
2018.0325,4.86594202898551
2018.0975,5.40942028985507
2018.1625,4.93478260869565
2018.2275,4.77894736842105
2018.2925,4.92631578947368
2018.3575,5.11228070175439
2018.4225,5.18055555555555
2018.4875,5.34375
2018.5525,5.49828178694158
2018.6175,4.60824742268041
2018.6825,4.39862542955326
2018.7475,4.81632653061224
2018.8125,4.97306397306397
2018.8775,4.67666666666667
2018.9425,4.34666666666667
2019.0075,4.66
2019.0725,4.77
2019.1375,4.42
2019.2025,4.31666666666667
2019.2675,4.45
2019.3325,4.27
2019.3975,3.94666666666667
2019.4625,4.37666666666667
2019.5275,4.09333333333333
2019.5925,3.77333333333333
2019.6575,4.04
2019.7225,4.36
2019.7875,3.92666666666667
2019.8525,4.20666666666667
2019.9175,3.95666666666667
2019.9825,4.21333333333333
2020.0475,3.98333333333333
2020.1125,3.96666666666667
2020.1775,3.93333333333333
2020.2425,3.96666666666667
2020.3075,3.87666666666667
2020.3725,3.84333333333333
2020.4375,3.90666666666667
2020.5025,3.47
2020.5675,3.52333333333333
2020.6325,3.73666666666667
2020.6975,3.83333333333333
2020.7625,3.9
2020.8275,3.74933333333333
2020.8925,3.57933333333333
2020.9575,3.79
2021.0225,3.66666666666667
2021.0875,4.00666666666667
2021.1525,3.71333333333333
2021.2175,3.74666666666667
2021.2825,3.82
2021.3475,3.58333333333333
2021.4125,3.51666666666667
2021.4775,3.33333333333333
2021.5425,3.73
2021.6075,3.76
2021.6725,3.89
2021.7375,4.15066666666667
2021.8025,3.90047619047619
2021.8675,4.03380952380952
2021.9325,4.02333333333333
2021.9975,3.992
2022.0625,3.75
2022.1275,3.47666666666667
2022.1925,3.56995670995671
2022.2575,3.46714285714286
2022.3225,3.60051948051948
2022.3875,3.55328071928072
2022.4525,3.69126484626485
2022.5175,3.96491102528288
2022.5825,3.54828014366095
2022.6475,2.73840155419038
2022.7125,2.89681626830878
2022.7775,2.94018866594678
2022.8425,3.61299948573732
2022.9075,4.78556397763606
2022.9725,3.74423410325602
2023.0375,1.98211371005197
2023.1025,1.98567758429612
2023.1675,1.47258733148364
2023.2325,1.58871367803122
2023.2975,2.70836288462887
2023.3625,4.41769841269841
2023.4275,6.77142857142857
2023.4925,6.65007936507936
2023.5575,6.19953102453102
2023.6225,5.76991563991564
2023.6875,5.14064269064269
2023.7525,4.59413067037209
2023.8175,4.37790490933043
2023.8825,12.0755940005718
2023.9475,20.2308652687269
2024.0125,19.1276487559486
2024.0775,8.79115496845105
2024.1425,10.3022135505833
2024.2075,4.44169276709748
2024.2725,1.75017752079237
2024.3375,1
2024.4025,NA
2024.4675,NA
