time,mosquito
2018.0325,1.79351214000157
2018.0975,1.82817359481539
2018.1625,1.8674997985363
2018.2275,1.86208420991898
2018.2925,1.85589840014776
2018.3575,1.85389572467123
2018.4225,1.8544497191906
2018.4875,1.85884260279792
2018.5525,1.82246538570949
2018.6175,1.8289614841342
2018.6825,1.82748823165894
2018.7475,1.81979213442121
2018.8125,1.81268393993378
2018.8775,1.78894113004208
2018.9425,1.79864570072719
2019.0075,1.81280788353511
2019.0725,1.81572087109089
2019.1375,1.813589250048
2019.2025,1.82123624426978
2019.2675,1.84192671626806
2019.3325,1.83692813664675
2019.3975,1.84206134080887
2019.4625,1.84193659946322
2019.5275,1.84543826431036
2019.5925,1.84352819621563
2019.6575,1.84504567335049
2019.7225,1.83806732296944
2019.7875,1.83955824375153
2019.8525,1.83515845239162
2019.9175,1.84139020740986
2019.9825,1.85554683208466
2020.0475,1.85644045472145
2020.1125,1.84810482107458
2020.1775,1.85408223337597
2020.2425,1.85298120373427
2020.3075,1.8393616742558
2020.3725,1.83936110138893
2020.4375,1.83636331847972
2020.5025,1.83117159828544
2020.5675,1.83286834756533
2020.6325,1.83507803454995
2020.6975,1.82809875011444
2020.7625,1.82936272876603
2020.8275,1.82819838605144
2020.8925,1.82025395206043
2020.9575,1.81203084808963
2021.0225,1.78187347440929
2021.0875,1.76203337311745
2021.1525,1.76597148925066
2021.2175,1.7551856421762
2021.2825,1.7215103449093
2021.3475,1.6932158317003
2021.4125,1.66066131757742
2021.4775,1.64792299483504
2021.5425,1.61423000320792
2021.6075,1.60383671309267
2021.6725,1.60096259876376
2021.7375,1.59063045494258
2021.8025,1.58820031600242
2021.8675,1.57921936798405
2021.9325,1.57617130367056
2021.9975,1.53571013699878
2022.0625,1.52708219306973
2022.1275,1.50710796117783
2022.1925,1.49493612349033
2022.2575,1.4633750396352
2022.3225,1.45265185832977
2022.3875,1.43567028045654
2022.4525,1.43999054342035
2022.5175,1.44897594551245
2022.5825,1.46669000089597
2022.6475,1.4968544870615
2022.7125,1.55971081542214
2022.7775,1.60554556399248
2022.8425,1.65459817299967
2022.9075,1.73945869597455
2022.9725,1.7807260254122
2023.0375,1.64218688044535
2023.1025,1.68032070888661
2023.1675,1.56928209216357
2023.2325,1.52329730319567
2023.2975,1.57825185879754
2023.3625,1.62232938634269
2023.4275,1.74084378669947
2023.4925,1.77102145838387
2023.5575,1.76355417758709
2023.6225,1.71696974031436
2023.6875,1.67741046261875
2023.7525,1.66795493888694
2023.8175,1.72674225234814
2023.8825,1.8601561889177
2023.9475,1.92178283831119
2024.0125,1.80525495218302
2024.0775,1.77316528015736
2024.1425,1.65998653837046
2024.2075,1.71208805525403
2024.2725,1.74419527345128
2024.3375,1.81260317688187
2024.4025,NA
2024.4675,NA
