time,Brazil_Croplands_2019
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1.00657358565809
2022.6475,1.01730115230376
2022.7125,1.01609268318833
2022.7775,1.04533702520175
2022.8425,1.02045352856531
2022.9075,1.00682191780822
2022.9725,1.00279625303247
2023.0375,1.07430118011072
2023.1025,1.18899568353383
2023.1675,1.52042677965674
2023.2325,1.7204078890971
2023.2975,1.15459838977744
2023.3625,1.04393025729933
2023.4275,1
2023.4925,1
2023.5575,1
2023.6225,1
2023.6875,1.00042553191489
2023.7525,1.00099639855942
2023.8175,1.00142517812976
2023.8825,1.00082646193854
2023.9475,1.0360603293407
2024.0125,3.04735966578681
2024.0775,4.16323550323279
2024.1425,6.13134965977473
2024.2075,12.0176223644639
2024.2725,6.07060905138462
2024.3375,10.2864283268158
2024.4025,NA
2024.4675,NA
