time,mosquito
2018.0325,1.59971550107002
2018.0975,1.60917681083083
2018.1625,1.64596631626288
2018.2275,1.65830212086439
2018.2925,1.62189083173871
2018.3575,1.62024511396885
2018.4225,1.62074489891529
2018.4875,1.64500895763437
2018.5525,1.63341915607452
2018.6175,1.63013894855976
2018.6825,1.64655526479085
2018.7475,1.65119263716042
2018.8125,1.6339362859726
2018.8775,1.62415172259013
2018.9425,1.6339362859726
2019.0075,1.62471889257431
2019.0725,1.63183348998427
2019.1375,1.6398034542799
2019.2025,1.64273276825746
2019.2675,1.65869490802288
2019.3325,1.66663328061501
2019.3975,1.66631990400228
2019.4625,1.6718142926693
2019.5275,1.67106737196445
2019.5925,1.66424118621009
2019.6575,1.67343443632126
2019.7225,1.6654553214709
2019.7875,1.66596486667792
2019.8525,1.68854504214092
2019.9175,1.68037971357505
2019.9825,1.68546451805603
2020.0475,1.68200477684538
2020.1125,1.68648628741503
2020.1775,1.6915552922421
2020.2425,1.68108915388584
2020.3075,1.68817904144526
2020.3725,1.69789640804132
2020.4375,1.68813058982293
2020.5025,1.70549275658347
2020.5675,1.7038385681808
2020.6325,1.69590028747916
2020.6975,1.69561617970467
2020.7625,1.69608841600517
2020.8275,1.71063634346832
2020.8925,1.69931645318866
2020.9575,1.68586766719818
2021.0225,1.68978272378445
2021.0875,1.7051111979144
2021.1525,1.69180751600686
2021.2175,1.68655095150073
2021.2825,1.68265359662473
2021.3475,1.67810109843101
2021.4125,1.6842177507778
2021.4775,1.66458510004339
2021.5425,1.67497734973828
2021.6075,1.67934381748949
2021.6725,1.6682348638773
2021.7375,1.68403110206127
2021.8025,1.6574822632456
2021.8675,1.64979118290155
2021.9325,1.66146049433284
2021.9975,1.64075605928898
2022.0625,1.63846885874158
2022.1275,1.64234671378747
2022.1925,1.63251221477985
2022.2575,1.64345963920156
2022.3225,1.62491093155665
2022.3875,1.63383034382548
2022.4525,1.62226368102215
2022.5175,1.62976941265739
2022.5825,1.64072911953083
2022.6475,1.65734389749752
2022.7125,1.61356548568419
2022.7775,1.5700618841156
2022.8425,1.63246415032793
2022.9075,1.75782749496876
2022.9725,1.8062328317032
2023.0375,1.68211712441444
2023.1025,1.70077351246805
2023.1675,1.54307364527257
2023.2325,1.55460881516505
2023.2975,1.57123564952074
2023.3625,1.65953805264765
2023.4275,1.81345842713566
2023.4925,1.89906294571334
2023.5575,1.90380363984589
2023.6225,1.87254174296391
2023.6875,1.77324777841568
2023.7525,1.69972552054308
2023.8175,1.61381426173968
2023.8825,1.73210674123286
2023.9475,1.88631371255757
2024.0125,1.82731462046405
2024.0775,1.73038921222288
2024.1425,1.63682396344883
2024.2075,1.70510025581545
2024.2725,1.80908927162252
2024.3375,1.82721204988698
2024.4025,NA
2024.4675,NA
